DATE,RSXFS
2008-08-01,334045
2008-09-01,328343
2008-10-01,314830
2008-11-01,301332
2008-12-01,294025
2009-01-01,298673
2009-02-01,297631
2009-03-01,292300
2009-04-01,293614
2009-05-01,296501
2009-06-01,302169
2009-07-01,302802
2009-08-01,309023
2009-09-01,301033
2009-10-01,304154
2009-11-01,306675
2009-12-01,308413
2010-01-01,308343
2010-02-01,308568
2010-03-01,315984
2010-04-01,318803
2010-05-01,315560
2010-06-01,314889
2010-07-01,315811
2010-08-01,317208
2010-09-01,320261
2010-10-01,324098
2010-11-01,327488
2010-12-01,329760
2011-01-01,332282
2011-02-01,334682
2011-03-01,338001
2011-04-01,339713
2011-05-01,339169
2011-06-01,341787
2011-07-01,341438
2011-08-01,342121
2011-09-01,345745
2011-10-01,347942
2011-11-01,349156
2011-12-01,349721
2012-01-01,352736
2012-02-01,357435
2012-03-01,358712
2012-04-01,356872
2012-05-01,356054
2012-06-01,352011
2012-07-01,353974
2012-08-01,358575
2012-09-01,361370
2012-10-01,361864
2012-11-01,362866
2012-12-01,364443
2013-01-01,367277
2013-02-01,372515
2013-03-01,369062
2013-04-01,367290
2013-05-01,369648
2013-06-01,370847
2013-07-01,373447
2013-08-01,372419
2013-09-01,372515
2013-10-01,373492
2013-11-01,373940
2013-12-01,376621
2014-01-01,373327
2014-02-01,378580
2014-03-01,382404
2014-04-01,386507
2014-05-01,386929
2014-06-01,387863
2014-07-01,388261
2014-08-01,391217
2014-09-01,389680
2014-10-01,390597
2014-11-01,391592
2014-12-01,388223
2015-01-01,385558
2015-02-01,385104
2015-03-01,391056
2015-04-01,391375
2015-05-01,394332
2015-06-01,394859
2015-07-01,398128
2015-08-01,397710
2015-09-01,396112
2015-10-01,394425
2015-11-01,396141
2015-12-01,397244
2016-01-01,394576
2016-02-01,398149
2016-03-01,396959
2016-04-01,398099
2016-05-01,399909
2016-06-01,404677
2016-07-01,403648
2016-08-01,403861
2016-09-01,406384
2016-10-01,407253
2016-11-01,405872
2016-12-01,413211
2017-01-01,416024
2017-02-01,416011
2017-03-01,414942
2017-04-01,416702
2017-05-01,414274
2017-06-01,416360
2017-07-01,416487
2017-08-01,417014
2017-09-01,426455
2017-10-01,426656
2017-11-01,430967
2017-12-01,434129
2018-01-01,431785
2018-02-01,434631
2018-03-01,433239
2018-04-01,435061
2018-05-01,439759
2018-06-01,437527
2018-07-01,440422
2018-08-01,439876
2018-09-01,439346
2018-10-01,444148
2018-11-01,445807
2018-12-01,436884
2019-01-01,439793
2019-02-01,440875
2019-03-01,446954
2019-04-01,447230
2019-05-01,448985
2019-06-01,448992
2019-07-01,453667
2019-08-01,455967
2019-09-01,452048
2019-10-01,453451
2019-11-01,455933
2019-12-01,458923
2020-01-01,456113
2020-02-01,457898
2020-03-01,432392
2020-04-01,375918
2020-05-01,442045
2020-06-01,472249
2020-07-01,481169
2020-08-01,482391
2020-09-01,492700
2020-10-01,490826
2020-11-01,486833
2020-12-01,488876
2021-01-01,513269
2021-02-01,503650
2021-03-01,558369
2021-04-01,555865
2021-05-01,550179
2021-06-01,550638
2021-07-01,543355
2021-08-01,546946
2021-09-01,552617
2021-10-01,562296
2021-11-01,565690
2021-12-01,556810
2022-01-01,576000
2022-02-01,581768
2022-03-01,587570
2022-04-01,590259
2022-05-01,587893
